script,grapheme,IPA,comment,source,omniglot
Cherokee,Ꭽ,hâ,NA,"Montgomery-Anderson, 2008: 31-107",http://www.omniglot.com/writing/cherokee.htm
Cherokee,Ꭽ,ha᷆,NA,"Montgomery-Anderson, 2008: 31-107",http://www.omniglot.com/writing/cherokee.htm
Cherokee,Ꭽ,ha᷇,NA,"Montgomery-Anderson, 2008: 31-107",http://www.omniglot.com/writing/cherokee.htm
Cherokee,Ꭽ,haʔ,NA,"Montgomery-Anderson, 2008: 31-107",http://www.omniglot.com/writing/cherokee.htm
Cherokee,Ꭽ,háh,NA,"Montgomery-Anderson, 2008: 31-107",http://www.omniglot.com/writing/cherokee.htm
Cherokee,Ꭽ,háʔ,NA,"Montgomery-Anderson, 2008: 31-107",http://www.omniglot.com/writing/cherokee.htm
Cherokee,Ꭽ,hah,NA,"Montgomery-Anderson, 2008: 31-107",http://www.omniglot.com/writing/cherokee.htm
Cherokee,Ꭽ,n̥aaː,NA,"Montgomery-Anderson, 2008: 31-107",http://www.omniglot.com/writing/cherokee.htm
Cherokee,Ꭽ,n̥á,NA,"Montgomery-Anderson, 2008: 31-107",http://www.omniglot.com/writing/cherokee.htm
Cherokee,Ꭽ,n̥áː,NA,"Montgomery-Anderson, 2008: 31-107",http://www.omniglot.com/writing/cherokee.htm
Cherokee,Ꭽ,n̥ǎ,NA,"Montgomery-Anderson, 2008: 31-107",http://www.omniglot.com/writing/cherokee.htm
Cherokee,Ꭽ,n̥â,NA,"Montgomery-Anderson, 2008: 31-107",http://www.omniglot.com/writing/cherokee.htm
Cherokee,Ꭽ,n̥a᷆,NA,"Montgomery-Anderson, 2008: 31-107",http://www.omniglot.com/writing/cherokee.htm
Cherokee,Ꭽ,n̥a᷇,NA,"Montgomery-Anderson, 2008: 31-107",http://www.omniglot.com/writing/cherokee.htm
Cherokee,Ꭽ,n̥aʔ,NA,"Montgomery-Anderson, 2008: 31-107",http://www.omniglot.com/writing/cherokee.htm
Cherokee,Ꭽ,n̥áh,NA,"Montgomery-Anderson, 2008: 31-107",http://www.omniglot.com/writing/cherokee.htm
